"CONTROL","TOTROOMS","PERPOVLVL","NOISE","DISHWASH","SOLAR","GARAGE","DINING","LAUNDY","NOSTEP","CONDO","RATINGHS","RATINGNH","NHQPCRIME","NHQPUBTRN","NHQRISK","NHQSCHOOL","NHQSCRIME","NOWIRE","TENURE","CELLPHONE","LANDLINE","PLUGS","SOGIRESP","PORCH","LEAKO","LEAKI","NOTOIL","PAINTPEEL","NEARABAND","NEARBARCL","NEARTRASH","INTLANG","OMB13CBSA","HHSEX","HHMAR","HHSPAN","HHCITSHP","MILHH","HHMOVE","HHRACE","HHGRAD","HHNATVTY","PARTNER","SAMESEXHH","HSHLDTYPE","NUMELDERS","NUMADULTS","NUMNONREL","HHYNGKIDS","HHOLDKIDS","NUMVETS","NUMYNGKIDS","NUMOLDKIDS","NUMSUBFAM","NUMSECFAM","NUMPEOPLE","HHADLTKIDS","GRANDHH","MULTIGEN","SAMEHHLD","HHFNTVTY","HHMNTVTY","HHPRNTHOME","HHGEN","HHSOGILGBT","HHSOGISO","HHSOGIG","UFINROOMS","STORIES","LOTSIZE","FINROOMS","YRBUILT","HOA","FOUNDTYPE","UNITFLOORS","UNITSIZE","BEDROOMS","KITCHENS","MONOXIDE","SMOKALRM","SPRNKSYSTM","WATSOURCE","FRIDGE","KITCHSINK","WASHER","COOKTYPE","COOKFUEL","DRYER","SEWTYPE","BATHROOMS","HOTWATER","HEATFUEL","FIREPLACE","ACPRIMARY","ACSECNDRY","HEATTYPE","SUPP1HEAT","SUPP2HEAT","HOT","COLD","NOWAT","WALLCRACK","FLOORHOLE","FNDCRUMB","ROOFSHIN","ROOFHOLE","ROOFSAG","WALLSIDE","WALLSLOPE","WINBOARD","WINBROKE","WINBARS","MOLDKITCH","MOLDBATH","MOLDBEDRM","MOLDBASEM","MOLDLROOM","MOLDOTHER","RODENT","ROACH","SEWBREAK","FUSEBLOW","ELECAMT","GASAMT","OILAMT","OTHERAMT","TRASHAMT","WATERAMT","UTILAMT","HHSEE","HHMEMRY","HHCARE","HHERRND","HHLDASTHMA","NUMASTHMAST","HHLDASTHMAER","ADEQUACY","POVLVLINC","UPKEEP","INSURAMT","HINCP","FINCP","TOTHCAMT","Class"
21000258,5,501,2,1,2,1,0,0,2,1,7,8,2,2,1,1,2,1,2,2,2,1,2,1,2,2,2,2,3,3,3,1,35380,1,1,2,1,6,2013,1,45,57,0,2,1,0,2,0,0,0,0,0,0,0,0,2,0,2,1,1,57,57,1,3,2,1,1,0,2,NA,1,2000,2,3,2,3,3,1,2,1,2,1,1,1,1,1,2,2,2,5,2,2,1,1,1,1,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,6,1,250,50,0,0,20,40,360,2,2,2,2,2,1,2,1,20019,1,21,123500,123500,1981,"No"
21000270,5,NA,2,2,2,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,1,35380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,5,1,1990,2,4,1,7,3,1,2,NA,NA,1,2,1,2,4,5,5,1,4,1,1,4,1,12,1,14,14,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA
21000276,7,501,2,1,2,1,1,0,1,2,10,10,2,2,2,1,2,1,1,2,2,1,2,1,2,2,2,2,3,3,3,1,35380,1,1,2,1,6,1999,1,44,57,0,2,1,1,2,0,0,0,0,0,0,0,0,2,0,2,1,1,57,57,2,3,3,6,7,0,1,3,2,1990,1,4,1,6,3,1,2,1,2,1,1,1,1,1,2,1,1,3,2,2,2,1,12,1,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,5,100,30,0,0,20,120,270,2,2,2,2,1,2,1,1,20019,1,377,104000,104000,956,"No"
21000284,5,501,2,1,2,1,0,0,2,2,9,8,2,2,1,1,2,1,1,1,2,1,1,1,2,2,2,2,3,3,3,1,35380,1,6,2,1,6,2020,1,46,57,0,2,4,0,1,0,0,0,0,0,0,0,0,1,0,2,1,3,57,57,3,3,1,2,1,0,1,2,1,1980,2,3,1,4,3,1,1,1,2,1,1,1,1,1,2,1,1,3,1,1,4,1,12,1,14,14,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,5,510,20,0,0,70,2,600,2,2,2,2,2,1,2,1,15553,1,156,321000,321000,3148,"No"
21000289,5,77,2,1,2,2,1,0,2,2,8,8,2,2,2,1,2,1,2,0,1,1,1,1,2,2,2,2,3,3,3,1,35380,2,6,2,1,6,2008,1,40,57,0,2,6,1,1,0,0,0,0,0,0,0,0,1,0,2,1,1,57,57,2,3,2,1,3,0,1,NA,1,1970,2,NA,1,3,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,12,1,14,14,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,5,4,6,5,90,0,0,0,30,30,150,1,1,1,1,2,1,2,1,14338,1,0,11100,11100,340,"Yes"
21000291,6,390,2,1,2,2,1,1,2,2,6,6,2,2,2,1,2,1,1,1,2,1,1,1,2,2,2,2,3,3,3,1,35380,2,3,2,1,6,1991,1,38,57,0,2,6,1,1,0,0,0,0,0,0,0,0,1,0,2,1,3,57,57,1,3,2,1,3,0,1,4,1,1980,2,4,1,4,3,1,2,1,2,2,1,1,1,1,1,1,2,4,1,1,4,7,12,3,14,14,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,5,120,0,0,0,40,3,160,2,2,2,2,2,1,2,1,14373,1,150,56000,56000,419,"No"
21000294,8,501,2,1,2,1,1,1,2,2,8,8,2,2,2,1,2,1,1,1,2,1,2,1,1,2,2,2,3,3,3,1,35380,1,1,2,1,6,2010,1,39,57,0,2,1,2,4,0,0,0,0,0,0,1,0,4,0,2,2,1,57,57,2,3,3,6,7,0,1,5,2,2000,2,7,1,8,4,1,1,1,2,2,1,1,1,1,3,1,2,5,1,1,4,1,1,1,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,5,5,6,5,250,10,0,0,20,3,280,2,2,2,2,2,1,2,1,30835,1,140,228600,228600,515,"Yes"
21000296,6,101,2,1,2,1,1,0,1,2,7,7,2,2,1,1,2,1,1,1,2,1,1,1,2,2,2,2,3,3,3,1,35380,1,3,2,1,6,1970,1,39,57,0,2,4,1,1,0,0,0,0,0,0,0,0,1,0,2,1,1,57,57,2,3,2,1,1,0,1,1,1,1970,2,4,1,5,3,1,2,1,2,1,1,1,1,1,1,1,1,3,1,1,4,1,12,3,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,5,5,6,5,180,0,0,0,30,30,240,2,2,2,2,2,1,2,1,14290,1,118,14400,14400,390,"No"
21000300,5,384,2,1,2,2,0,0,1,2,10,8,2,2,2,1,2,1,1,2,2,1,1,1,2,2,2,2,1,3,3,1,35380,1,1,2,1,6,1997,1,43,57,0,2,1,1,2,0,0,0,0,0,0,0,0,2,0,2,1,2,117,110,2,2,2,1,1,0,1,4,1,1990,2,4,1,4,3,1,2,1,2,1,1,1,1,1,2,1,1,3,2,2,2,1,12,1,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,6,5,170,70,0,0,50,2,290,2,2,2,2,2,1,2,1,20068,1,269,77100,77100,694,"No"
21000308,5,501,2,1,2,2,1,0,1,2,8,9,2,2,2,1,2,1,2,1,2,1,1,1,2,2,2,2,3,3,3,1,35380,1,4,1,1,6,2020,1,40,57,0,2,4,1,1,0,0,0,0,0,0,0,0,1,0,2,1,4,57,314,2,2,2,1,1,0,1,NA,1,1980,2,NA,1,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,12,1,14,14,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,5,5,6,5,100,0,0,0,2,2,100,1,2,2,2,2,1,2,1,14338,1,15,133400,133400,1115,"Yes"
